ID,title,Thumbnail,rights,manifest,Relation,viewingDirection,viewingHint,attribution
http://purl.org/dc/terms/identifier,http://purl.org/dc/terms/title,http://xmlns.com/foaf/0.1/thumbnail,http://purl.org/dc/terms/rights,http://schema.org/url,http://purl.org/dc/terms/relation,http://iiif.io/api/presentation/2#viewingDirection,http://iiif.io/api/presentation/2#viewingHint
Literal,Literal,Resource,Resource,Resource
11_Field_note___1,山行（中学生）,,,,,,,,1,整理中,フィールド・ノート 山嶽帳,1932年,ノート型,
11_Field_note___2,山行（中学生）,,,,,,,,2,整理中,フィールド・ノート 荃峪（せんよく）記 第一巻,1933年,ノート型,
11_Field_note___3,山行（中学生）,,,,,,,,3,整理中,フィールド・ノート 荃峪（せんよく）記 第二巻,1933年,ノート型,
11_Field_note___4,白頭山行,,,,,,,,4,公開中,フィールド・ノート 「日記及び記録」,1940年,ノート型,8_Field_survey___Field_survey_00097
11_Field_note___5,京都探検地理学会樺太踏査隊（カラフト踏査）,,,,,,,,5,整理中,フィールド・ノート カラフト踏査「雑記」,1940年12月-1941年1月,ノート型,
11_Field_note___6,京都探検地理学会樺太踏査隊（カラフト踏査）,,,,,,,,6,整理中,フィールド・ノート カラフト踏査「犬橇」,1940年12月-1941年1月,ノート型,
11_Field_note___7,京都探検地理学会ポナペ島調査隊,,,,,,,,7,整理中,フィールド・ノート ポナペ島調査 到着 パラオ～,1941年7月20日-,手帳型,
11_Field_note___8,京都探検地理学会ポナペ島調査隊,,,,,,,,8,整理中,フィールド・ノート ポナペ島調査 数詞～,1941年8月,手帳型,
11_Field_note___9,京都探検地理学会ポナペ島調査隊,,,,,,,,9,整理中,フィールド・ノート ポナペ島調査 9月13日～ 春木村,1941年9月,手帳型,
11_Field_note___10,蕨平,,,,,,,,10,整理中,フィールド・ノート 蕨平 うさぎの足あと,1941年12月23日-,手帳型,
11_Field_note___11,動物分類実習（瀬戸臨海実験所）：京都帝国大学理学部,,,,,,,,11,整理中,フィールド・ノート 動物分類実習（瀬戸臨海実験所）,1941年7月　1942年3-4月,４穴バインダー,8_Field_survey___00113_オープン･ファイル_動物分類実習(瀬戸)_ノート
11_Field_note___12,北部大興安嶺探検隊,,,,,,,,12,整理中,フィールド・ノート KÔANREI（Ⅰ）,1942年,手帳型,
11_Field_note___13,北部大興安嶺探検隊,,,,,,,,13,整理中,フィールド・ノート KÔANREI（Ⅱ）,1942年,手帳型,
11_Field_note___14,北部大興安嶺探検隊,,,,,,,,14,整理中,フィールド・ノート_大興安嶺 （今西錦司？）,1942年,手帳型,
